abrasives	Abrasives remove material from a workpiece.
soldering-workholders-positioners	Soldering work holders and positioners aid users in soldering and desoldering applications by holding workpieces in place.
conformal-coatings-removers	Conformal coatings and removers are protective resins that conform to the small parts of printed circuit boards (PCBs) to shield them from environmental conditions.
air-carbon-arc-cutting-gouging	Air carbon arc (CAC-A) cutting and gouging removes layers of material from a metal workpiece without damaging the underlying material.
air-carbon-arc-cutting-gouging-electrodes	Air carbon arc (CAC-A) electrodes are made from a mixture of graphite and carbon.
air-carbon-arc-cutting-gouging-torch-parts-accessories	These parts and accessories are used to maintain and operate compatible air carbon arc torches.
plastic-welding	Plastic welding is commonly used for manufacturing or repairing plastic parts.
plastic-welding-rods	Plastic welding rods supply filler material for joining or repairing parts in plastic welding applications.
plastic-welding-tips	These tips attach to compatible plastic welders to focus and direct hot air to plastic workpieces in plastic welding tasks.
plastic-welders	Plastic welders connect to plastic welding tips.
spot-welding	Spot welding joins thinner materials such as sheet metal and wire mesh, and it is less likely to damage these materials than arc welding or soldering.
spot-welding-tips	Spot welding tips install onto compatible spot welding tongs, and the tongs clamp onto a workpiece to hold a joint together and provide pressure for the spot welding process.
spot-welding-tongs	Spot welding tongs clamp onto a workpiece to hold a joint together and provide pressure for the spot welding process.
stud-welding	Stud welding permanently joins a threaded fastener (also known as a weld stud) to one side of a workpiece while leaving the other side unmarred.
weld-studs	Weld studs are threaded fasteners that take less time to install than fasteners that require drilling, tapping, punching, or screwing.
stud-welding-collets-chucks	Stud welding collets and chucks securely hold weld studs on a stud welding gun and transfer current and pressure to the studs during welding.
stud-welding-stop-pins	Stud welding stop pins prevent weld studs from penetrating too far into the workpiece in CD (capacitor discharge) stud welding applications.
stud-welding-ferrule-grips	Ferrule grips hold ceramic ferrules on drawn arc weld studs to secure them in place on compatible welding guns during the drawn arc welding process.
stud-welders	Stud welders connect to compatible stud welding guns and supply current to weld studs held in the guns.
welding-soldering-area-protection	Welding and soldering activities create sparks, spatter, and ultraviolet light that can damage surrounding equipment or pose a risk to others.
welding-blankets	Welding blankets drape over workbenches, equipment, floors, and other surfaces to protect against damage caused by exposure to nearby welding heat, sparks, spatter, and sometimes slag.
welding-blanket-rolls	Welding blanket rolls are long lengths of cloth that can be cut to length to customize blanket length or width.
welding-curtains	Welding curtains separate workspaces to protect passersby from sparks and ambient UV light produced during welding operations.
welding-screens	Welding screens form a barrier between a welding activity and nearby areas.
welding-screen-curtain-accessories	Welding curtain and screen accessories keep screens, frames, and curtains in good working order.
welding-booths	Welding booths have four sides to fully enclose a welding area to protect surrounding areas and passersby from sparks, spatter, and some ultraviolet (UV) light.
welding-umbrellas	Welding umbrellas provide shade when working in direct sunlight.
insulated-welding-pads	Welding pads protect surfaces from direct contact with sparks and high heat.
pipeline-cooling-wraps	Pipeline cooling wraps drape over newly created welds to allow them to cool more slowly and help prevent the weld from cracking.
